Matches analyzed: 6687! HeroName,WinCount,PickCount,WinRate
Lifestealer,1,1,1.0
Omniknight,1,1,1.0
Wraith King,352,598,0.588628762542
Chen,278,491,0.566191446029
Nature's Prophet,1152,2095,0.549880668258
Night Stalker,783,1429,0.547935619314
Lich,964,1763,0.546795235394
Venomancer,684,1251,0.546762589928
Anti-Mage,1121,2064,0.543120155039
Beastmaster,390,721,0.540915395284
Tidehunter,788,1469,0.53641933288
Dark Seer,297,554,0.536101083032
Sand King,1000,1875,0.533333333333
Pudge,1330,2507,0.530514559234
Leshrac,411,776,0.529639175258
Slardar,695,1317,0.527714502658
Dazzle,506,969,0.522187822497
Mirana,1406,2709,0.519010705057
Vengeful Spirit,852,1642,0.518879415347
Shadow Shaman,470,915,0.513661202186
Enchantress,294,573,0.513089005236
Crystal Maiden,726,1419,0.511627906977
Zeus,501,983,0.509664292981
Enigma,391,768,0.509114583333
Bloodseeker,517,1018,0.507858546169
Faceless Void,533,1050,0.507619047619
Riki,420,829,0.506634499397
Ancient Apparition,757,1499,0.505003335557
Juggernaut,594,1179,0.503816793893
Necrophos,330,658,0.501519756839
Earthshaker,1097,2202,0.498183469573
Viper,632,1277,0.494909945184
Witch Doctor,452,916,0.493449781659
Clockwerk,569,1159,0.490940465919
Sven,711,1450,0.490344827586
Spectre,475,971,0.489186405767
Shadow Fiend,652,1334,0.488755622189
Lion,782,1602,0.488139825218
Puck,483,990,0.487878787879
Tinker,383,787,0.48665819568
Razor,520,1070,0.485981308411
Windranger,1048,2175,0.48183908046
Drow Ranger,616,1293,0.476411446249
Queen of Pain,194,411,0.47201946472
Weaver,597,1266,0.471563981043
Lina,578,1234,0.468395461912
Bane,45,97,0.463917525773
Morphling,466,1013,0.460019743337
Warlock,22,48,0.458333333333
Storm Spirit,586,1281,0.457455113193
Pugna,311,689,0.451378809869
Tiny,623,1387,0.449170872386
Doom,493,1109,0.444544634806
Sniper,590,1329,0.443942814146
Kunkka,369,920,0.401086956522
Axe,434,1084,0.40036900369
Broodmother,112,283,0.395759717314
Phantom Lancer,0,0,0.0
Death Prophet,0,0,0.0
Phantom Assassin,0,0,0.0
Templar Assassin,0,0,0.0
Luna,0,0,0.0
Dragon Knight,0,0,0.0
Clinkz,0,0,0.0
Huskar,0,0,0.0
Bounty Hunter,0,0,0.0
Jakiro,0,1,0.0
Batrider,0,0,0.0
Ursa,0,0,0.0
Spirit Breaker,0,0,0.0
Gyrocopter,0,0,0.0
Alchemist,0,0,0.0
Invoker,0,0,0.0
Silencer,0,0,0.0
Outworld Devourer,0,0,0.0
Lycan,0,0,0.0
Brewmaster,0,0,0.0
Shadow Demon,0,0,0.0
Lone Druid,0,0,0.0
Chaos Knight,0,0,0.0
Meepo,0,0,0.0
Treant Protector,0,0,0.0
Ogre Magi,0,0,0.0
Undying,0,0,0.0
Rubick,0,0,0.0
Disruptor,0,0,0.0
Nyx Assassin,0,0,0.0
Naga Siren,0,0,0.0
Keeper of the Light,0,0,0.0
Io,0,0,0.0
Visage,0,0,0.0
Slark,0,0,0.0
Medusa,0,0,0.0
Troll Warlord,0,0,0.0
Centaur Warrunner,0,0,0.0
Magnus,0,0,0.0
Timbersaw,0,0,0.0
Bristleback,0,0,0.0
Tusk,0,0,0.0
Skywrath Mage,0,0,0.0
Abaddon,0,0,0.0
Elder Titan,0,0,0.0
Legion Commander,0,0,0.0
Techies,0,0,0.0
Ember Spirit,0,0,0.0
Earth Spirit,0,0,0.0
Terrorblade,0,0,0.0
Phoenix,0,0,0.0
Oracle,0,0,0.0
Winter Wyvern,0,0,0.0
